Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,IndicatorName,Vaccine
7531239,MCV2,COUNTRY,GRD,YEAR,AMR,Americas,,,2012,,,,,,,75,75.0,,,,2025-07-14T16:23:12.92+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7543350,MCV2,COUNTRY,TUV,YEAR,WPR,Western Pacific,,,2014,,,,,,,91,91.0,,,,2025-07-14T16:23:12.92+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7549825,MCV2,COUNTRY,KEN,YEAR,AFR,Africa,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7562465,MCV2,COUNTRY,PSE,YEAR,EMR,Eastern Mediterranean,,,2009,,,,,,,97,97.0,,,,2025-07-14T16:23:12.92+02:00,2009,2009-01-01T00:00:00+01:00,2009-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7613524,MCV2,COUNTRY,ARE,YEAR,EMR,Eastern Mediterranean,,,2007,,,,,,,93,93.0,,,,2025-07-14T16:23:12.92+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7664584,MCV2,COUNTRY,LBR,YEAR,AFR,Africa,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:23:12.92+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7746470,MCV2,COUNTRY,EST,YEAR,EUR,Europe,,,2000,,,,,,,89,89.0,,,,2025-07-14T16:23:12.92+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7759538,MCV2,COUNTRY,EST,YEAR,EUR,Europe,,,2001,,,,,,,84,84.0,,,,2025-07-14T16:23:12.92+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7784451,MCV2,WORLDBANKINCOMEGROUP,WB_UMI,YEAR,,,,,2016,,,,,,,87,87.0,,,,2025-07-14T16:23:12.92+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
7809703,MCV2,COUNTRY,CUB,YEAR,AMR,Americas,,,2022,,,,,,,99,99.0,,,,2025-07-14T16:23:12.92+02:00,2022,2022-01-01T00:00:00+01:00,2022-12-31T00:00:00+01:00,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the locally recommended age (%),MCV2
