Location,LocationCode,doctors,nurses,pharmacists,gov_health_exp,UHC_index
Liberia,LBR,1.78,10.07,0.32,4.79117155,44.70966
Libya,LBY,20.42,63.77,4.1,5.06275082,62.11962
Lithuania,LTU,61.04,78.43,12.39,13.03340149,75.31574
Luxembourg,LUX,29.84,137.21,6.97,11.02042389,80.0
Madagascar,MDG,1.72,2.81,0.01,5.74065638,34.94375
Malawi,MWI,0.54,5.07,0.06,3.28711009,48.27469
Malaysia,MYS,23.41,40.54,6.26,8.00581741,75.99274
Maldives,MDV,22.35,50.17,7.01,18.17274666,61.41676
Mali,MLI,1.88,2.68,0.75,5.68597412,41.28001
Malta,MLT,45.134,82.44,15.26,16.20832825,80.0
Marshall Islands,MHL,,43.05,,6.65108061,58.94324
Mauritania,MRT,2.61,16.09,0.2,6.28199959,40.12226
Mauritius,MUS,14.36,40.48,0.32,9.39373207,65.65095
Mexico,MEX,25.88,30.28,,10.38890553,74.54783
Micronesia (Federated States of),FSM,9.74,22.21,,1.89079916,47.65958
Monaco,MCO,86.09,,23.36,12.035676,80.0
Mongolia,MNG,41.3,42.17,11.11,9.24742699,64.95104
Montenegro,MNE,27.83,60.8,2.75,16.25329208,71.94123
Morocco,MAR,7.4,8.69,2.7,6.82021856,69.45202
Mozambique,MOZ,1.75,9.34,0.15,8.0444231,43.9927
Myanmar,MMR,7.57,2.05,0.8,2.54511499,52.44712
Namibia,NAM,5.53,53.86,2.27,11.73687458,62.63717
Nauru,NRU,12.73,73.04,1.82,11.82882881,60.35399
Nepal,NPL,10.11,40.92,2.25,8.01256084,53.66346
Netherlands (Kingdom of the),NLD,38.76,116.65,2.17,15.91572475,80.0
New Zealand,NZL,36.11,123.04,7.09,19.75432205,80.0
Nicaragua,NIC,6.82,15.69,,17.82958984,70.31471
Niger,NER,0.38,4.21,0.02,7.1149826,34.98468
Nigeria,NGA,3.8,16.47,0.82,4.30794764,38.42341
Niue,NIU,,111.11,,6.9482398,43.59322
North Macedonia,MKD,29.44,55.15,5.95,12.36134911,73.52955
Norway,NOR,49.75,165.09,2.81,17.75482941,80.0
Oman,OMN,19.92,46.61,7.01,8.3084383,69.89807
Pakistan,PAK,11.6,5.2,2.0,5.5513339,45.20959
Palau,PLW,18.08,66.1,2.81,9.50615215,64.77206
Panama,PAN,16.25,33.45,2.18,22.23363113,78.21974
Papua New Guinea,PNG,0.61,5.08,0.08,6.98782349,30.39468
Paraguay,PRY,38.93,94.09,6.73,17.44610023,72.27225
Peru,PER,16.88,27.38,1.65,16.70323753,71.10895
Philippines,PHL,7.92,47.88,4.73,8.97604561,58.21226
Poland,POL,40.31,63.25,9.99,10.71350861,80.0
Portugal,PRT,58.51,80.09,10.17,14.80828762,80.0
Qatar,QAT,30.22,84.89,12.44,7.38554478,76.42062
Republic of Korea,KOR,26.1,90.86,8.04,14.0759697,80.0
Republic of Moldova,MDA,40.16,63.17,1.06,12.34735298,70.75371
Romania,ROU,36.25,82.53,11.79,11.16228485,78.39335
Russian Federation,RUS,51.11,70.39,0.39,13.76098537,79.15902
Rwanda,RWA,0.9,11.06,0.06,9.47249985,48.55309
Saint Kitts and Nevis,KNA,30.85,65.81,,5.90546227,78.95278
Saint Lucia,LCA,42.34,53.43,4.48,8.99789143,76.81477
Saint Vincent and the Grenadines,VCT,,47.38,,8.62581348,68.83349
Samoa,WSM,5.61,30.58,0.24,15.15188408,55.12797
San Marino,SMR,46.29,94.36,10.98,29.50914192,77.1058
Sao Tome and Principe,STP,4.64,21.65,1.64,14.93853188,58.78933
Saudi Arabia,SAU,34.06,65.57,11.07,12.80796719,74.3674
Senegal,SEN,1.09,4.24,0.2,3.37195063,50.08955
Serbia,SRB,30.99,66.89,1.55,13.69171619,71.67236
Seychelles,SYC,65.98,73.2,4.22,10.17943954,74.57317
Sierra Leone,SLE,1.34,11.63,0.11,5.20409679,41.00435
Singapore,SGP,28.34,65.59,6.65,18.12199783,80.0
Slovakia,SVK,36.97,60.14,8.47,14.56368923,80.0
Slovenia,SVN,33.67,105.63,7.34,14.95345879,80.0
Solomon Islands,SLB,2.38,20.01,0.78,9.71681023,47.2799
Somalia,SOM,,,,2.49872327,26.79095
South Africa,ZAF,7.94,63.93,2.7,16.88567543,70.9511
South Sudan,SSD,0.41,6.91,0.15,2.10620522,34.17734
Spain,ESP,42.94,64.06,12.29,15.21683216,80.0
Sri Lanka,LKA,11.36,22.58,1.09,9.48533821,66.73998
Sudan,SDN,2.5,10.83,0.24,6.71981812,43.53126
Suriname,SUR,13.55,17.27,0.81,13.12298107,62.66269
Sweden,SWE,44.08,116.65,7.83,19.00658607,80.0
